
27-03-2024 15:24:49

id,Dname,manager_id,description;
1,c++,2,Dc;
3,dc,1,;

27-03-2024 15:36:09

id,Dname,manager_id,description;
1,c++,2,Dc;
3,dc,1,;

27-03-2024 16:01:34

id,Dname,manager_id,description;
1,c++,2,Dc;
3,dc,1,;

27-03-2024 16:47:19

id,Dname,manager_id,description;
1,c++,2,Dc;
3,dc,1,;

27-03-2024 18:12:59

id,Dname,manager_id,description;
1,c++,2,Dc;
3,dc,1,;

27-03-2024 18:14:00

id,Dname,manager_id,description;
1,c++,2,Dc;
3,dc,1,;

01-04-2024 09:52:21

id,Dname,manager_id,description;

01-04-2024 15:46:16

id,Dname,manager_id,description;
1,DC,501,unrealengine 5 for desktop application;
2,QA,501,testing;
3,testing ,501,Team for Teasting;
4,Finance ,501,jhk jhh;
