
27-03-2024 15:24:49

id,programming_language,specialization;
1, c++ , dc ;
3, cpp ,  ;

27-03-2024 15:36:09

id,programming_language,specialization;
1, c++ , dc ;
3, cpp ,  ;

27-03-2024 16:01:34

id,programming_language,specialization;
1, c++ , dc ;
3, cpp ,  ;

27-03-2024 16:47:19

id,programming_language,specialization;
1, c++ , dc ;
3, cpp ,  ;

27-03-2024 18:12:59

id,programming_language,specialization;
1, c++ , dc ;
3, cpp ,  ;

27-03-2024 18:14:00

id,programming_language,specialization;
1, c++ , dc ;
3, cpp ,  ;

<<<<<<< HEAD
01-04-2024 09:52:21

id,programming_language,specialization;

01-04-2024 15:46:16

id,programming_language,specialization;
301,C++,junior c++ developer;
=======
31-03-2024 21:00:29

id,programming_language,specialization;
>>>>>>> 17217775496b21dd86a60f626a1c9ac79568d942
