
27-03-2024 15:24:49

Sid,amount,base_salary,bonus;
1,750000,550000,200000;
2,1000000,800000,200000;
3,600000,500000,100000;

27-03-2024 15:36:09

Sid,amount,base_salary,bonus;
1,750000,550000,200000;
2,1000000,800000,200000;
3,600000,500000,100000;

27-03-2024 16:01:34

Sid,amount,base_salary,bonus;
1,750000,550000,200000;
2,1000000,800000,200000;
3,600000,500000,100000;

27-03-2024 16:47:19

Sid,amount,base_salary,bonus;
1,750000,550000,200000;
2,1000000,800000,200000;
3,600000,500000,100000;

27-03-2024 18:12:59

Sid,amount,base_salary,bonus;
1,750000,550000,200000;
2,1000000,800000,200000;
3,600000,500000,100000;

27-03-2024 18:14:00

Sid,amount,base_salary,bonus;
1,750000,550000,200000;
2,1000000,800000,200000;
3,600000,500000,100000;

01-04-2024 09:52:21

Sid,amount,base_salary,bonus;

01-04-2024 15:46:16

Sid,amount,base_salary,bonus;
301,705000,605000,100000;
501,1250000,1000000,250000;
